"OverallQual";"YearBuilt";"YearRemodAdd";"MasVnrArea";"Foundation";"BsmtFinType1";"BsmtFinSF1";"TotalBsmtSF";"HeatingQC";"1stFlrSF";"2ndFlrSF";"GrLivArea";"FullBath";"Fireplaces";"FireplaceQu";"GarageCars";"GarageArea";"WoodDeckSF";"OpenPorchSF";"SaleType";"SaleCondition";"SalePrice"
7;1999;1999;183;"PConc";"ALQ";1162;1588;"Ex";1588;0;1588;2;0;"NA";2;472;158;29;"WD";"Normal";214000
4;1965;1965;48;"CBlock";"Rec";520;960;"TA";960;0;960;1;0;"NA";1;432;120;0;"WD";"Normal";94750
5;1920;1950;0;"BrkTil";"ALQ";108;458;"Fa";835;0;835;1;0;"NA";1;366;0;0;"COD";"Abnorml";83000
4;1959;1959;0;"CBlock";"ALQ";569;950;"Fa";1225;0;1225;1;0;"NA";0;0;352;0;"WD";"Normal";128950
6;1977;2001;28;"PConc";"ALQ";1200;1610;"Gd";1610;0;1610;2;2;"TA";2;480;168;68;"WD";"Normal";205000
6;1985;1985;336;"CBlock";"Unf";0;741;"TA";977;755;1732;2;1;"TA";2;476;192;46;"WD";"Normal";178000
5;1979;1979;0;"Slab";"NA";0;0;"TA";1535;0;1535;2;0;"NA";2;410;0;0;"WD";"Alloca";118964
7;2009;2009;0;"PConc";"Unf";0;1226;"Ex";1226;0;1226;2;0;"NA";3;740;0;36;"WD";"Normal";198900
7;1931;1950;600;"PConc";"LwQ";224;1040;"Ex";1226;592;1818;1;2;"TA";1;240;0;0;"WD";"Normal";169500
8;2003;2004;768;"PConc";"Unf";0;1053;"Ex";1053;939;1992;2;1;"Gd";2;648;140;45;"WD";"Normal";250000
4;1885;1995;0;"BrkTil";"Unf";0;641;"Gd";1047;0;1047;1;0;"NA";1;273;0;0;"WD";"Normal";100000
5;1948;1950;0;"CBlock";"ALQ";104;789;"Ex";789;0;789;1;0;"NA";1;250;0;0;"WD";"Partial";115000
5;1919;2005;0;"CBlock";"Unf";0;793;"TA";997;520;1517;2;0;"NA";0;0;0;0;"WD";"Normal";115000
6;1977;1977;480;"CBlock";"BLQ";705;1844;"Ex";1844;0;1844;2;1;"TA";2;546;0;122;"COD";"Normal";190000
6;1954;1972;0;"CBlock";"Rec";444;994;"Gd";1216;639;1855;2;0;"NA";1;325;182;0;"WD";"Normal";136900
7;2000;2000;0;"PConc";"GLQ";250;384;"Ex";774;656;1430;2;1;"TA";2;400;180;0;"WD";"Normal";180000
7;2007;2007;220;"PConc";"GLQ";984;1264;"Ex";1282;1414;2696;2;1;"Gd";3;792;120;184;"New";"Partial";383970
6;1953;1953;184;"CBlock";"ALQ";35;1809;"TA";2259;0;2259;2;2;"Gd";2;450;166;120;"COD";"Abnorml";217000
6;1945;2002;0;"CBlock";"ALQ";774;1028;"Ex";1436;884;2320;2;1;"TA";1;180;224;0;"WD";"Normal";259500
6;1999;1999;1129;"PConc";"GLQ";419;729;"Gd";729;729;1458;2;1;"Fa";2;440;0;32;"WD";"Normal";176000
5;1962;1962;116;"CBlock";"LwQ";170;1092;"TA";1092;0;1092;1;1;"Po";1;288;0;20;"WD";"Normal";139000
5;2006;2007;0;"PConc";"Unf";0;1125;"Gd";1125;0;1125;1;0;"NA";2;430;80;64;"New";"Partial";155000
7;1990;1990;0;"PConc";"GLQ";1470;1673;"Gd";1699;1523;3222;3;2;"TA";3;594;367;0;"WD";"Normal";320000
6;2005;2006;0;"PConc";"Unf";0;728;"Ex";728;728;1456;2;1;"Gd";2;390;0;24;"New";"Partial";163990
6;1969;1969;0;"CBlock";"ALQ";938;938;"Ex";988;0;988;1;2;"TA";2;540;0;130;"WD";"Normal";180000
4;1939;1950;0;"PConc";"Unf";0;732;"Gd";772;351;1123;1;0;"NA";1;264;0;0;"WD";"Normal";100000
6;1958;1958;135;"CBlock";"BLQ";570;1080;"Gd";1080;0;1080;1;0;"NA";1;288;0;0;"WD";"Normal";136000
6;1993;1993;0;"PConc";"GLQ";300;1199;"Ex";1199;0;1199;2;0;"NA";2;530;0;63;"WD";"Normal";153900
6;1979;1998;0;"CBlock";"Unf";0;1362;"TA";1586;0;1586;2;1;"TA";2;435;192;0;"WD";"Normal";181000
6;1935;1982;0;"CBlock";"GLQ";490;520;"Gd";520;0;754;1;0;"NA";0;0;53;0;"WD";"Normal";84500
6;1976;1976;0;"CBlock";"ALQ";120;1078;"TA";958;0;958;2;1;"TA";2;440;0;205;"WD";"Normal";128000
5;1930;1950;0;"BrkTil";"LwQ";116;672;"Ex";840;0;840;1;1;"TA";0;0;0;0;"WD";"Normal";87000
6;1966;1966;266;"CBlock";"BLQ";512;660;"TA";660;688;1348;1;1;"Fa";2;453;188;108;"WD";"Normal";155000
5;1958;1991;85;"CBlock";"Rec";567;1008;"TA";1053;0;1053;1;0;"NA";2;750;0;80;"WD";"Abnorml";150000
7;1966;1966;309;"CBlock";"Rec";445;924;"Ex";1216;941;2157;2;2;"Gd";2;487;105;66;"WD";"Normal";226000
6;2000;2000;40;"PConc";"GLQ";695;992;"Ex";1022;1032;2054;2;1;"TA";2;390;24;48;"WD";"Normal";244000
5;1959;2002;0;"CBlock";"Rec";405;1063;"Gd";1327;0;1327;1;0;"NA";2;624;0;0;"WD";"Normal";150750
8;2001;2002;136;"PConc";"GLQ";1005;1267;"Ex";1296;0;1296;2;0;"NA";2;471;192;25;"WD";"Normal";220000
5;1968;1993;0;"CBlock";"Rec";570;1461;"Gd";1721;0;1721;2;1;"TA";2;440;0;96;"WD";"Normal";180000
7;1970;1970;288;"PConc";"Unf";0;1304;"Gd";1682;0;1682;2;1;"Gd";2;530;98;0;"WD";"Normal";174000
5;1967;1967;196;"CBlock";"BLQ";695;1214;"TA";1214;0;1214;2;1;"Fa";1;318;0;111;"WD";"Normal";143000
7;1988;1989;70;"CBlock";"Unf";0;1907;"Gd";1959;0;1959;3;0;"NA";3;766;0;0;"WD";"Family";171000
8;1999;2000;320;"PConc";"GLQ";668;1004;"Ex";1004;848;1852;2;2;"TA";3;660;224;106;"WD";"Normal";230000
6;1997;1997;0;"PConc";"GLQ";821;928;"Ex";928;836;1764;2;0;"NA";2;470;276;99;"WD";"Normal";231500
4;1971;1971;0;"CBlock";"ALQ";432;864;"TA";864;0;864;1;1;"Po";0;0;0;0;"ConLI";"Normal";115000
7;2005;2005;0;"PConc";"GLQ";1300;1734;"Ex";1734;0;1734;2;0;"NA";2;660;160;24;"WD";"Normal";260000
5;1952;1952;0;"CBlock";"Rec";507;910;"Fa";910;475;1385;2;0;"NA";2;720;0;0;"WD";"Normal";166000
7;1999;1999;183;"PConc";"GLQ";679;1490;"Ex";1501;0;1501;2;0;"NA";2;577;144;29;"WD";"Normal";204000
5;1963;1963;336;"CBlock";"Rec";1332;1728;"TA";1728;0;1728;2;0;"NA";2;504;0;0;"ConLI";"Abnorml";125000
6;2004;2006;50;"PConc";"Unf";0;970;"Ex";970;739;1709;2;0;"NA";2;380;0;40;"WD";"Normal";130000
5;1931;1993;0;"BrkTil";"BLQ";209;715;"TA";875;0;875;1;0;"NA";1;180;48;0;"WD";"Normal";105000
7;2001;2001;180;"PConc";"Unf";0;884;"Ex";884;1151;2035;2;1;"Gd";2;434;144;48;"WD";"Normal";222500
7;2004;2005;120;"PConc";"GLQ";680;1080;"Ex";1080;0;1080;1;0;"NA";0;0;0;0;"WD";"Normal";141000
5;1936;1950;0;"BrkTil";"Unf";0;896;"Gd";896;448;1344;1;0;"NA";1;240;200;114;"WD";"Normal";115000
5;1975;1975;0;"CBlock";"BLQ";716;969;"TA";969;0;969;1;0;"NA";2;440;0;0;"WD";"Normal";122000
8;2007;2008;436;"PConc";"GLQ";1400;1710;"Ex";1710;0;1710;2;1;"Gd";3;866;0;102;"New";"Partial";372402
6;1971;1971;252;"CBlock";"Rec";416;825;"Gd";1097;896;1993;2;1;"Gd";2;495;0;66;"WD";"Normal";190000
6;1960;1975;0;"CBlock";"BLQ";429;1602;"Gd";1252;0;1252;1;1;"Gd";2;564;409;0;"WD";"Normal";235000
6;1923;1950;0;"BrkTil";"Unf";0;1200;"TA";1200;0;1200;1;0;"NA";1;312;0;0;"WD";"Family";125000
6;1924;1950;0;"BrkTil";"Unf";0;572;"Fa";572;524;1096;1;0;"NA";0;0;0;8;"WD";"Normal";79000
5;1950;1950;0;"CBlock";"NA";0;0;"TA";1040;0;1040;1;0;"NA";2;625;0;0;"WD";"Normal";109500
8;2009;2010;84;"PConc";"Unf";0;774;"Ex";774;1194;1968;2;1;"Gd";3;680;0;75;"New";"Partial";269500
7;2004;2005;0;"PConc";"GLQ";222;991;"Ex";991;956;1947;2;1;"Gd";2;678;0;136;"WD";"Normal";254900
7;2005;2006;456;"PConc";"GLQ";57;1392;"Ex";1392;1070;2462;2;1;"Gd";2;576;239;132;"New";"Partial";320000
6;1984;1984;0;"PConc";"BLQ";660;1232;"TA";1232;0;1232;2;0;"NA";2;516;0;0;"WD";"Normal";162500
9;2003;2004;664;"PConc";"GLQ";1016;1572;"Ex";1572;1096;2668;2;2;"Gd";3;726;400;0;"WD";"Normal";412500
7;2005;2005;226;"PConc";"BLQ";1201;1541;"Ex";1541;0;1541;2;1;"Gd";2;532;0;70;"New";"Partial";220000
4;1956;1956;0;"CBlock";"Unf";0;882;"Ex";882;0;882;1;0;"NA";0;0;0;0;"WD";"Normal";103200
6;1926;2004;0;"BrkTil";"LwQ";370;1149;"Gd";1149;467;1616;2;0;"NA";1;216;0;0;"WD";"Normal";152000
5;1940;1999;0;"BrkTil";"ALQ";351;644;"Gd";808;547;1355;2;0;"NA";0;0;140;0;"WD";"Normal";127500
5;1955;1993;0;"CBlock";"LwQ";379;1617;"Ex";1867;0;1867;1;3;"Gd";1;303;476;0;"COD";"Normal";190000
8;2007;2007;300;"PConc";"GLQ";1288;1582;"Ex";1610;551;2161;1;1;"Gd";3;789;178;120;"New";"Partial";325624
7;2004;2004;0;"PConc";"Unf";0;840;"Ex";840;880;1720;2;1;"Gd";2;440;100;48;"WD";"Normal";183500
8;1981;1981;653;"CBlock";"Unf";0;1686;"TA";1707;0;1707;2;1;"TA";2;511;574;64;"WD";"Normal";228000
5;1941;1950;0;"CBlock";"Rec";360;720;"TA";854;0;1382;1;0;"NA";2;660;237;0;"WD";"Normal";128500
6;1960;1960;112;"CBlock";"BLQ";639;1080;"Fa";1656;0;1656;1;2;"Gd";2;528;210;62;"WD";"Normal";215000
7;1987;1987;0;"PConc";"GLQ";495;1064;"Gd";1064;703;1767;2;1;"TA";2;504;441;35;"WD";"Normal";239000
6;1961;1961;491;"CBlock";"ALQ";288;1362;"TA";1362;0;1362;1;1;"TA";2;504;0;20;"COD";"Normal";163000
6;1986;1986;132;"CBlock";"ALQ";1398;1606;"TA";1651;0;1651;2;1;"TA";2;616;192;0;"WD";"Normal";184000
6;1950;2001;0;"CBlock";"ALQ";477;1202;"TA";2158;0;2158;2;1;"Gd";2;576;0;29;"WD";"Normal";243000
6;1988;1989;268;"PConc";"GLQ";831;1151;"TA";1164;896;2060;2;1;"TA";2;521;0;228;"WD";"Normal";211000
5;1958;1958;0;"CBlock";"ALQ";57;1052;"Ex";1252;668;1920;2;1;"Gd";2;451;0;0;"WD";"Normal";172500
9;2008;2009;748;"PConc";"GLQ";1904;2216;"Ex";2234;0;2234;2;1;"Gd";3;1166;0;60;"New";"Partial";501837
5;1923;2006;0;"CBlock";"Unf";0;968;"TA";968;0;968;1;0;"NA";2;480;0;0;"WD";"Normal";100000
6;2000;2000;456;"PConc";"GLQ";436;756;"Ex";769;756;1525;2;1;"TA";2;440;0;0;"WD";"Normal";177000
7;1920;1950;0;"BrkTil";"LwQ";352;793;"Gd";901;901;1802;1;1;"Gd";1;216;0;0;"WD";"Normal";200100
5;1957;2006;98;"PConc";"NA";0;0;"Ex";1340;0;1340;1;1;"Gd";1;252;116;0;"WD";"Normal";120000
7;2003;2003;0;"PConc";"Unf";0;1362;"Ex";1362;720;2082;2;0;"NA";2;484;280;238;"WD";"Normal";200000
5;1908;1991;0;"PConc";"Unf";0;504;"Gd";936;316;1252;1;0;"NA";2;576;104;0;"WD";"Normal";127000
10;1892;1993;0;"BrkTil";"Unf";0;1107;"Ex";1518;1518;3608;2;2;"TA";3;840;0;260;"WD";"Normal";475000
7;1990;1991;0;"PConc";"GLQ";611;1188;"Ex";1217;0;1217;2;0;"NA";2;497;168;27;"WD";"Normal";173000
5;1916;1987;0;"CBlock";"Unf";0;660;"Ex";808;704;1656;2;0;"NA";1;180;0;0;"WD";"Normal";135000
5;1979;1979;275;"CBlock";"GLQ";1086;1086;"TA";1224;0;1224;0;2;"TA";2;528;120;0;"WD";"Alloca";153337
8;2001;2002;0;"PConc";"GLQ";1153;1593;"Ex";1593;0;1593;1;1;"Gd";2;682;0;120;"WD";"Normal";286000
8;1932;1994;0;"CBlock";"Rec";297;853;"TA";1549;1178;2727;2;2;"TA";2;440;0;74;"WD";"Normal";315000
7;1972;2004;138;"CBlock";"ALQ";626;725;"Gd";725;754;1479;1;0;"NA";2;484;0;32;"WD";"Normal";184000
7;1999;1999;0;"PConc";"GLQ";560;1431;"Ex";1431;0;1431;2;0;"NA";2;666;0;35;"WD";"Normal";192000
7;2004;2004;50;"PConc";"Unf";0;970;"Ex";970;739;1709;2;0;"NA";2;380;0;40;"WD";"Normal";130000
5;1972;1972;0;"CBlock";"ALQ";390;864;"TA";864;0;864;1;0;"NA";1;352;0;0;"WD";"Normal";127000
6;1976;1976;0;"CBlock";"ALQ";566;855;"TA";855;601;1456;2;1;"TA";2;440;87;0;"WD";"Normal";148500
7;2007;2007;205;"PConc";"GLQ";1126;1726;"Ex";1726;0;1726;2;1;"Gd";3;786;171;138;"New";"Partial";311872
8;1918;1990;0;"PConc";"GLQ";1036;1360;"Gd";1360;1360;3112;2;1;"Ex";2;795;0;16;"WD";"Abnorml";235000
6;1912;1950;0;"CBlock";"Unf";0;755;"Ex";929;929;2229;1;0;"NA";0;0;0;198;"WD";"Abnorml";104000
8;2004;2005;262;"PConc";"GLQ";1088;1713;"Ex";1713;0;1713;2;1;"Gd";3;856;0;26;"WD";"Normal";274900
4;2003;2004;0;"PConc";"Unf";0;1121;"Ex";1121;0;1121;2;0;"NA";2;440;132;64;"WD";"Normal";140000
6;1977;1977;0;"CBlock";"ALQ";641;1196;"TA";1279;0;1279;2;2;"Fa";2;473;238;83;"WD";"Normal";171500
6;1924;1950;0;"BrkTil";"LwQ";617;617;"Gd";865;445;1310;2;0;"NA";1;398;0;0;"COD";"Normal";112000
6;2004;2004;205;"PConc";"GLQ";662;848;"Ex";848;0;848;1;1;"Gd";2;420;149;0;"WD";"Normal";149000
